ID,M1_R,M2a_coef,M2a_intercept,M2b_coef,M2b_intercept,M3_R
56,14.5448676,1.0375974995234298,0.025665229747288798,0.12277008293816516,0.0,1.838592
88,3.5793216,0.10682098684803658,1.7525203986553328,0.005062735780436152,0.833350278072429,0.7755264000000001
90,6.8993568000000005,0.21727329559701083,0.0,0.0440297803362259,0.18237325851152736,0.15228
92,6.26812992,0.12889361763716883,1.5192535839870027,0.0723471929384343,0.4889672354520068,0.5675616000000001
97,7.951363199999999,0.767635895949096,0.7429223340580542,0.23091574388812539,0.0,0.49667039999999996
99,4.424212799999999,0.18135777989609922,2.138551876155035,0.15752472677578785,0.19593799566472597,0.222912
100,3.6821088,0.05291205121926589,4.4110715581078574,0.013181786081026414,2.491512056889375,1.3749696000000002
148,2.500416,default,,default,,7.0779744
307,16.8813504,default,,default,,13.9454784
390,3.7385452800000003,0.010263475014409723,0.4762562017971791,0.044555042579470655,0.1329426969941495,0.0
391,default,1.0460208902959338,-1.8378102447476028,0.11358371068562985,0.0,0.6153408
393,default,0.0986204695351784,3.9930090853490183,0.064090621277825,0.0,1.8554400000000002
438,default,0.0763762142300112,0.2663444698252636,0.014213035863268738,0.19431638983530342,0.036719999999999996
456,default,0.051714609023518536,0.4066016082741685,0.024683029427723012,0.0,0.21742560000000005
511,default,0.14344589487978907,0.9751465037292206,0.007068652247472525,0.1264131890343524,0.2666736
613,14.0147568,1.0064538051511993,-0.04924196183104801,0.6339531984574663,0.0,4.9909824
657,default,0.0475460027637748,0.0,0.00882899132397102,0.0,3.5964864000000003
753,default,0.02394579886047624,0.0,0.004297638697912619,25.774174908430368,33.7627008
870,31.09032221538461,0.03168041643077019,-31.32994227554616,0.004886420733520799,39.23310713710874,28.8696096
898,1.6033248,0.02495620385105224,0.9730925166773057,0.08206938129961992,0.865942478945692,0.08320319999999999
924,10.759168376470587,0.002180040471996127,3.3172999148630047,0.004956109604466759,2.2990341913001555,1.0728288
948,0.580215876923077,0.0014647584096514148,0.33863733832376597,0.002866518954939375,0.1002550386652056,default
