ID,main_use,size_ratio,curve_shape,A1,A2,A3,A4,S_A4-A1,S_A2-A3,S_median,I99,I80,I50,I30,I10,I_mean,S_cap,S_dead,S_flood_cap
1699,Flood control,0.116138459,four-piece,3,5,9,12,37.38608941,76.17286002,,22.4620857,4.3858992,1.8494,0.86865296,0.25864944,3.124374415,169.83,30.605,168.1317
1703,Flood control,0.494792989,four-piece,3,6,6,1,204.4813722,246.32005,,10.02722072,0.66900864,0.0824536,-0.06122704,-0.24029536,1.0898352,401.305,171.992,397.29195
1706,Flood control,0.239570774,four-piece,3,8,10,3,3.238822581,2.42398913,,7.792111744,1.15764896,0.4785648,0.28506928,0.10469392,0.955453188,85.972,8.5972,85.11228
1707,Flood control,0.285829145,four-piece,3,5,9,12,23.88522314,36.31895261,,7.946933712,0.79030272,0.1674288,0.0412144,-0.0104608,0.801281218,107.481,20.254,106.40619
1709,Flood control,0.177359931,four-piece,3,5,8,12,72.35655372,237.0497886,,33.63328949,6.81115008,2.7280912,1.28079728,0.305904,4.942359632,392.307,39.2307,388.38393
1712,Flood control,0.212550095,four-piece,2,5,10,12,14.85496667,21.45589232,,5.254020528,0.47288192,0.1301848,0.03918976,-0.00089472,0.475337205,51.732,9.897,51.21468
1714,Flood control,0.410743103,four-piece,1,5,8,12,227.4554758,278.8677561,,23.5383924,3.90611904,1.0872,0.41922736,0.01533936,3.076032101,688.618,217.452,681.73182
1718,Flood control,0.465638372,single,,,,,,,105.4552477,16.76305466,1.28594336,0.3117456,0.0896464,-0.0269312,1.503817084,361.041,89.249,357.43059
1723,Flood control,0.168921545,single,,,,,,,50.53408934,4.114128992,0.57743232,0.1137744,0.0329192,0.00069168,0.452960713,78.462,46.412,77.67738
1726,Flood control,0.182807122,four-piece,3,5,10,12,13.96656198,20.20036549,,6.541689664,0.78937696,0.2702496,0.12608,0.05051936,0.64747392,57.169,8.882,56.59731
1733,Flood control,0.140921264,four-piece,3,5,9,12,27.57250307,42.48623203,,17.03079904,2.9304032,1.0060208,0.4447352,0.1899176,2.124716962,136.86,21.229,135.4914
1735,Flood control,0.113943794,four-piece,6,8,11,4,7.815849958,35.51241393,,9.603948736,1.83907168,0.7242112,0.34557344,0.02034432,1.442507647,67.809,6.7809,67.13091
1739,Flood control,0.284608854,four-piece,3,5,9,12,16.31202893,39.90153595,,15.61718294,1.72252032,0.5426064,0.2164056,0.04749264,1.497686066,171.895,17.1895,170.17605
1740,Flood control,0.713054797,four-piece,2,5,9,12,92.44447222,212.1180261,,20.20902504,3.1471328,1.2055184,0.56869984,0.15338192,2.506927653,744.91,78.928,737.4609
1741,Flood control,0.347840214,four-piece,2,5,10,12,239.0597611,301.9462609,,30.19050339,3.46959488,1.0496344,0.39365296,-0.06948192,3.295618368,657.477,200.346,650.90223
1742,Flood control,0.188721282,four-piece,3,5,9,12,62.52378512,82.66543546,,6.477475968,0.92687712,0.3513704,0.17106336,0.07623872,0.748109324,114.056,11.4056,112.91544
1744,Flood control,0.346285634,four-piece,3,5,8,12,20.42408678,28.35973984,,2.165397248,0.2314048,0.0857952,0.02430624,-0.0192232,0.218616842,48.056,19.791,47.57544
1752,Hydroelectricity,0.051030136,four-piece,3,5,6,10,816.3981319,1099.895861,,290.0510873,118.0341226,63.032804,39.83213488,21.9163968,79.00976522,2288.034,686.777,2265.15366
1754,Flood control,0.114526149,single,,,,,,,495.2755456,10.93186221,1.40697728,0.432624,0.10952064,-0.10839776,1.329945822,550.87,389.739,545.3613
1755,Flood control,0.487676853,four-piece,2,5,9,12,124.3597056,320.7095392,,37.33430366,4.3577696,1.591672,0.7515384,0.21608736,3.75847519,793.376,81.721,785.44224
1756,Hydroelectricity,0.427936472,four-piece,0,4,6,10,3350.329957,4832.745527,,192.9726503,31.30066048,10.424864,4.23420544,0.45146496,24.90106542,7239.797,2538.563,7167.39903
1758,Hydroelectricity,0.147062647,single,,,,,,,196.6647073,4.59819776,0.93285632,0.5176144,0.339648,0.184810841,0.732895986,236.005,146.55,233.64495
1761,Hydroelectricity,0.223446387,four-piece,2,4,4,9,1729.867608,2004.327033,,134.5928898,23.57555328,10.9145488,6.80291232,3.42452576,18.78208981,3261.696,1346.432,3229.07904
